code_nsf,code_scolarite,sigle_type_formation,libelle_type_formation,libelle_formation_principal,sigle_formation,duree,niveau_de_sortie_indicatif,code_rncp,niveau_de_certification,libelle_niveau_de_certification,tutelle,url_et_id_onisep,domainesous-domaine
334,,,formation d'école spécialisée,MBA tourisme et hôtellerie,,2 ans,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.762,"hôtellerie-restauration, tourisme/hôtellerie | hôtellerie-restauration, tourisme/tourisme"
320,16X32039,,formation d'école spécialisée,manager en stratégie créative / Producer,,1 an,bac + 5,37646,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.8972,"information-communication, audiovisuel/multimédia"
331,,,formation d'école spécialisée,attaché de recherche clinique,,1 an,bac + 5,38481,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10288,"santé, social, sport/médical"
250 | 201 | 252,17025006,,diplôme d'ingénieur,diplôme d'ingénieur du CNAM spécialité mécatronique en partenariat avec l'AFISA,EICnam,3 ans,bac + 5,39055,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.10620,"mécanique/automatismes | mécanique/automobile | matières premières, fabrication, industries/maintenance, qualité"
242,,,formation d'école spécialisée,"Master of Arts Fashion Promotion, Communication and Media",,1 an,bac + 4,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4082,"arts, culture, artisanat/arts graphiques"
234,,FCIL,formation complémentaire d'initiative locale,FCIL opérateur de finition en ameublement,,1 an,bac + 1,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9828,"construction, architecture, travaux publics/ameublement | arts, culture, artisanat/artisanat d'art"
110,,CPGE,classe préparatoire économique et commerciale,classe préparatoire ATS économie-gestion,ATS,1 an,bac + 3,,0,non inscrit au RNCP,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.4008,"gestion des entreprises, comptabilité/administration de l'entreprise"
,,CPI,cycle préparatoire intégré,"cycle préparatoire intégré à l'ISEN Méditerranée - prépa ingénieur biologie, sciences et technologies",ISEN,2 ans,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10803,sciences/biologie
227,,,formation d'école spécialisée,Bachelor in Nuclear Engineering (Phelma) Bachelor's Degree in Engineering Grenoble INP - Phelma,NCEPU,1 an,bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.6179,"sciences/chimie | environnement, énergies, propreté/énergies | sciences/mathématiques | sciences/physique"
326,,mastère spé.,mastère spécialisé,"mastère spé. informatique, systèmes d'information, télécommunications et réseaux",,1 an,bac + 6,37746,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9840,"informatique, Internet/informatique (généralités) | informatique, Internet/systèmes et réseaux | information-communication, audiovisuel/technologies de l'information | électricité, électronique, robotique/télécommunications"
242,,,formation d'école spécialisée,stylisme mode et modélisme,,5 ans,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1673,"arts, culture, artisanat/arts graphiques | matières premières, fabrication, industries/textile, habillement"
,,,formation d'école spécialisée,diplôme de la CinéFabrique,,3 ans,bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.6893,"information-communication, audiovisuel/audiovisuel"
128,25012819,,licence professionnelle,licence pro mention activités juridiques : mandataire judiciaire à la protection des majeurs,MJPM,1 an,bac + 3,38862,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9916,"économie, droit, politique/droit (généralités)"
333,,,formation d'école spécialisée,enseignant(e) du premier degré,,2 ans,bac + 3,37525,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.8874,"lettres, langues, enseignement/enseignement"
,,CPI,cycle préparatoire intégré,cycle préparatoire intégré ESITC Metz,ESITC,2 ans,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9254,"construction, architecture, travaux publics/génie civil, construction (généralités)"
326,16X3261A,,formation d'école spécialisée,Data Engineer,,2 ans,bac + 5,37624,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10070,"gestion des entreprises, comptabilité/administration de l'entreprise | informatique, Internet/bases de données | informatique, Internet/développement, programmation, logiciel | informatique, Internet/informatique (généralités) | informatique, Internet/informatique de gestion | information-communication, audiovisuel/technologies de l'information"
326,25132604,BUT,bachelor universitaire de technologie,BUT informatique parcours intégration d'applications et management du système d'information,,3 ans,bac + 3,35478,2,niveau 6,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.7998,"informatique, Internet/bases de données | informatique, Internet/développement, programmation, logiciel | informatique, Internet/informatique (généralités) | informatique, Internet/informatique industrielle et technologique | information-communication, audiovisuel/multimédia | informatique, Internet/systèmes et réseaux | information-communication, audiovisuel/technologies de l'information"
126,13512605,,master,"master mention histoire, civilisations, patrimoine",,2 ans,bac + 5,39466,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.10426,"histoire-géographie, psychologie, sociologie/histoire"
121,13512110,,master,"master mention géographie, aménagement, environnement et développement",,2 ans,bac + 5,39194,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.10345,"environnement, énergies, propreté/aménagement du territoire | environnement, énergies, propreté/environnement (généralités) | histoire-géographie, psychologie, sociologie/géographie"
,,,formation d'école spécialisée,cycle commun d'accès aux bachelors Digitals Campus,,2 ans,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10158,"informatique, Internet/développement, programmation, logiciel | information-communication, audiovisuel/multimédia"
323,,,formation d'école spécialisée,ingénieur du son (3IS),,3 ans,bac + 3,39888,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.11040,"information-communication, audiovisuel/audiovisuel"
310,,MSc,Master of Science,MSc International Trade and Maritime Logistics,,2 ans,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10932,"commerce, marketing, vente/commerce international | logistique, transport/logistique | logistique, transport/transport"
310,16531237,,diplôme d'école de commerce visé de niveau bac + 4 ou 5,diplôme du programme grande école de l'ISC Paris,,3 ans,bac + 5,36686,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.8224,"gestion des entreprises, comptabilité/administration de l'entreprise | commerce, marketing, vente/marketing, vente"
310,,mastère spé.,mastère spécialisé,mastère spé. chef de projet aéronautique et spatial - Aeronautical and Space Project Manager (ENSAM - INSEEC BS - ENSEIRB-MATMECA - Bordeaux INP),ASPM,1 an,bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2331,"gestion des entreprises, comptabilité/administration de l'entreprise | mécanique/aéronautique | matières premières, fabrication, industries/génie industriel"
221,32322115,BTSA,brevet de technicien supérieur agricole,"BTSA analyses biologiques, biotechnologiques, agricoles et environnementales",ANABIOTEC,2 ans,bac + 2,36772,3,niveau 5,Ministère de l'Agriculture et de la Souveraineté alimentaire,https://www.onisep.fr/http/redirection/formation/slug/FOR.7683,"agriculture, animaux/agriculture (généralités) | matières premières, fabrication, industries/agroalimentaire | sciences/biologie"
323,,,formation d'école spécialisée,photographe praticien,,2 ans,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3710,"information-communication, audiovisuel/audiovisuel"
326,,mastère spé.,mastère spécialisé,mastère spé. cybersécurité du numérique,,1 an,bac + 6,38434,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3878,"information-communication, audiovisuel/multimédia | informatique, Internet/systèmes et réseaux"
210,36321004,CS,certificat de spécialisation (agriculture),CS responsable technico-commercial en agroéquipements,TC,1 an,bac + 3,38851,3,niveau 5,Ministère de l'Agriculture et de la Souveraineté alimentaire,https://www.onisep.fr/http/redirection/formation/slug/FOR.2301,"commerce, marketing, vente/grande distribution et petits commerces | mécanique/machinisme agricole | commerce, marketing, vente/marketing, vente | mécanique/mécanique (généralités)"
